chainname,chainid
Golfsmith,556a2c20a7c8957d73d3d566
Goodwill,556a29e0a7c8957d73d38b8f
Goody's,556ca508a7c87f63786abbdd
Gordon Food Service Store,556a3edda7c8957d73d5b3b1
Gordon's Jewelers,556a4ca4a7c8957d73d6a109
GoWireless,556ce5abaceaff43eb0528b2
Grease Monkey,556c9585a7c8a11a36bdbd7a
Great American Cookies,556ca508a7c87f63786abbd3
Great Clips,556e2b60a7c82e6b7253b211
Great River Passage,556a36eba7c8957d73d524d2
Great Wolf Lodge,556a3f61a7c8957d73d5b98e
Greyhound Bus,556c9628a7c8a11a36bdd0b9
Greystar,556d0fe9aceaff43eb08b7c7
GUESS,556ca24da7c87f63786a6093
Guitar Center,556ca152a7c87f63786a4a32
Gymboree,556d1777aceaff43eb09d1eb
H-E-B,556ca0b7a7c87f63786a3545
H-E-B Pharmacy,5569f197a7c8896abe7c25cc
h.h. gregg,556c9b97a7c87f637869e197
H&M,556cdd65aceaff43eb03dde2
H&R Block,556f676fbd6a75a99038d8e0
HÌ_agen-Dazs,5568f746a7c8a9cf8ec4e259
Hair Cuttery,556d1d36aceaff43eb0a9e6c
Hampton Hotels,556d1914aceaff43eb0a1244
Hampton Inn,5568f398a7c8a9cf8ec47148
Hand and Stone,556a2ef7a7c8957d73d42eb6
Hannaford Supermarkets,556f4482bd6a007c7738c7b0
Harbor Freight Tools,556d009faceaff43eb073ab9
Hardee's,556e0f6fa7c82e6b724f8c88
Harley-Davidson,556e5fcdbd6a82902e29e31e
Harris Teeter,556c9585a7c8a11a36bdbd74
Hastings Entertainment,556a3656a7c8957d73d50fde
Havertys Furniture,556a32c4a7c8957d73d4a2ed
HCR ManorCare,556ce673aceaff43eb0548f9
Helzberg Diamonds,556c9767a7c8a11a36bdf574
Hertz,556e23e9a7c82e6b7252cead
Hertz Car Sales,556a28c9a7c8957d73d36cee
Hibbett Sportså¨,556d1457aceaff43eb094f77
Hilton Garden Inn,556e582dbd6a82902e28db7d
Hilton Hotels & Resorts,556e146fa7c82e6b725097d5
Hobby Lobby,563e98a2498eb80953b13e86
Holiday Inn,556e0690a7c82e6b724e70a3
Holiday Inn Express,556e1846a7c82e6b72513d63
Holiday Retirement,556ce188aceaff43eb047f77
Holiday Stationstores,556ceb48aceaff43eb05f62b
HolidayMoments,556c9628a7c8a11a36bdd0bb
Hollister,5665cd7a60b2cc5383ccf5a5
Hollywood Tans,556e4ff2bd6a82902e27feca
Home Properties Communities,556a341fa7c8957d73d4cad6
HomeGoods,556ce673aceaff43eb0548fd
Homewood Suites by Hilton,556e4edcbd6a82902e27f7b8
Honda,556e518ebd6a82902e282014
Honey Dew Donuts,556a3e1ca7c8957d73d59c67
Hooters,556a48c3a7c8957d73d66806
Hospital Corporation of America,5890ddb479dbf22b9ee52696
Hospital for Special Surgery,5568eff0a7c8a9cf8ec3fe7a
Hot Topic,556d0479aceaff43eb07b074
Howard Johnson,556a2265a7c8957d73d2bfca
HSBC,5569fb0ba7c8896abe7d571c
Hubway,556f44b6bd6a007c7738ceea
Huddle House,556ce188aceaff43eb047f87
HUGO BOSS,556ce5abaceaff43eb0528bc
Hungry Howie's Pizza,556cdf5baceaff43eb042e08
Hy-Vee,556ce010aceaff43eb044905
Hyatt Place,556c8cb7a7c8a11a36bcb5af
Hyatt Regency,556a41d7a7c8957d73d5f17e
Hyundai,556f3df9bd6a007c77380430
IHOP,556e0f6fa7c82e6b724f8c84
In-N-Out Burger,556cdd65aceaff43eb03dddb
Independent Bank,5569faa6a7c8896abe7d4b51
Indy Parks and Recreation,556d0353aceaff43eb077f08
Infiniti,57be0d0d498e0183d6676880
InTown Suites,573e083c498e05adf08f2ae6
Irving Oil,556d1914aceaff43eb0a1238
ISEPTAPHILLY,556cdebdaceaff43eb0413fc
It's Fashion,58dd3a21e6160c6a9cee83aa
IZOD,556a337ba7c8957d73d4b6ba
J.Crew,556ca462a7c87f63786aa4d8
Jack in the Box,556e1846a7c82e6b72513d66
Jack's,556a32c4a7c8957d73d4a2e0
Jackson Heiwtt Tax Service,5568f25da7c8a9cf8ec44f47
Jackson Hewitt Tax Service,556f676fbd6a75a99038d8ee
Jaguar,57bdb12c498e16a578748611
Jamba Juice,556d0fe9aceaff43eb08b7c9
Jared The Galleria of Jewelry,57ed444c498ed0ff3ac7f357
Jason's Deli,556c9767a7c8a11a36bdf578
JCPenney,556de8c8a7c82f0fe987b2c8
JCPenney Optical,556c8f10a7c8a11a36bcf8aa
Jeep,573df7a2e4b0686b00a3066d
Jenny Craig,56f2d291498e2ea616204efd
Jersey Mike's Subs,556ceb48aceaff43eb05f62f
Jewel,556a4e81a7c8957d73d6dd4e
Jiffy Lube,556cfa63aceaff43eb063e00
Jimmy Jazz,556a2d7aa7c8957d73d3fd2e
Jimmy John's,556e119fa7c82e6b725012dc
Jo-Ann Fabric & Craft Stores,556d12d9aceaff43eb090cd8
Jockey,556a2ddaa7c8957d73d40d69
Joe's Crab Shack,556c8d37a7c8a11a36bcc56b
Johnny Rockets,556f3e2cbd6a007c77380b65
Johnny's Pizza,556f4560bd6a007c7738ec2b
Johnston & Murphy,556a4162a7c8957d73d5e4a7
Jos A Bank,556ce8d9aceaff43eb0588d0
Journeys,556ce4d6aceaff43eb050862
Just Tires,5569fce9a7c8896abe7d9515
Justice,556df7e1a7c82e6b724d822f
K&G Fashion,556a2d9ea7c8957d73d4052c
Kaiser Permanente,5568ecdea7c8a9cf8ec396eb
Kangaroo Express,556e119fa7c82e6b725012ea
kate spade new york,556a3474a7c8957d73d4d45b
Kay Jewelers,57471106498e68358a588a4e
Kelly-Moore Paints,586fc75efc8d594ea9c50b37
Key Food,556a3f61a7c8957d73d5b990
KeyBank,556dfa53a7c82e6b724de0a2
KeyMe,5569ff90a7c8896abe7ddfcd
KFC,556e40c7bd6a82902e2671cb
Kia Motors,556a24afa7c8957d73d30c67
Kiddie Academy,556a3b40a7c8957d73d57a5d
Kiehl's,5569f9fba7c8896abe7d357c
KinderCare,556e0690a7c82e6b724e70a2
King Soopers,556a3e88a7c8957d73d5a815
Kirkland's,556cde1baceaff43eb03f971
Kmart,556d1eaeaceaff43eb0aea63
Knights Inn Canada,5569f1aba7c8896abe7c2852
